Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"06/11/1885   NY1  PRO  NL  6  NY1 12? Arthur Irwin       4(B)4(2)3(1)/TP              4*-4*-3*              Joe Gerhardt 2b,Roger Connor 1b"
"06/13/1885   PT1  BL2  AA  11 BL2 12- Pop Smith          1X2(4)BX1(43)2XH(32)/GTP     4*-3*-2*              Tim Manning 2b,Ecky Stearns 1b,Sam Trott c"
"06/23/1885   PH4  BL2  AA  9  PH4 -23 Jimmy Macullar     3(B)34(2)45(3)/LTP           3*-4*-5*              Harry Stovey 1b,Cub Stricker 2b,Fred Corey 3b"
"07/09/1885   BR3  SL4  AA  6  SL4 12- Bill Phillips      K+CS2(25)1X2(534)/TP         2*-5*-3-4*            Doc Bushong c,Arlie Latham 3b,Sam Barkley 2b,Charlie Comiskey 1b"
"08/26/1885   PRO  NY1  NL  1  NY1 12- Joe Start          3(B)3(1)34(2)/LTP            3*-3*-4*              Roger Connor 1b,Joe Gerhardt 2b"
"08/28/1885   PT1  CN2  AA  8  PT1 12- Jim Clinton        9(B)93(1)34(2)/LTP           9*-3*-4*              Tom Brown rf,Pop Smith 2b,Milt Scott 1b"
"09/07/1885   NY1  PHI  NL  1  NY1 12- Charlie Ferguson   3(B)3(1)34(2)/LTP            3*-3*-4*              Roger Connor 1b,Joe Gerhardt 2b"
"04/26/1886   BR3  NY4  AA  1  BR3 12- Frank Hankinson    6(B)64(2)43(1)/LTP           6*-4*-3*              Germany Smith ss,Bill McClellan 2b,Bill Phillips 1b"
"04/29/1886   BR3  BL2  AA  4  BR3 12- Jack Manning       H+CSB(953)1X3(3)2XH(321)/TP  9-5-3*-3*-2-1*        Ed Swartwood rf,George Pinckney 3b,Bill Phillips 1b,Pop Schriver c,Steve Toole p"
"05/08/1886   CN2  PT1  AA  4  PT1 12- John Reilly        3(B)4(1)/G3/TP.2XH(42)#      3*-4*-2*              Fred Carroll 1b,Sam Barkley 2b,Doggie Miller c"
"07/12/1886   BSN  WS8  NL  5  BSN 12- Cliff Carroll      4(B)43(1)36(2)/LTP           4*-3*-6*              Jack Burdock 2b,Sam Wise 1b,John Morrill ss"
"08/05/1886   DTN  BSN  NL  3  DTN -23 Ezra Sutton        4(B)2X3(4)3XH(42)/LTP        4*-4*-2*              Hardy Richardson 2b,Charlie Bennett c"
"08/10/1886   KCN  BSN  NL  6  BSN 123 Pete Conway        32(3)25(2)54(1)/PTP          3-2*-5*-4*            John Morrill 1b,Con Daily c,Billy Nash 3b,Ezra Sutton 2b"
"08/14/1886   BL2  LS2  AA  5  LS2 12- Mike Muldoon       5(B)2X3(5)53(1)/LTP          5*-5*-3*              Joe Werrick 3b,Paul Cook 1b"
"08/31/1886   BR3  BL2  AA  1  BR3 12- Pat O'Connell      6(B)64(2)43(1)/LTP           6*-4*-3*              Germany Smith ss,Bill McClellan 2b,Bill Phillips 1b"
"09/07/1886   WS8  DTN  NL  2  WS8 12- Ned Hanlon         6(B)64(2)43(1)/LTP           6*-4*-3*              Sadie Houck ss,Jack Farrell 2b,Paul Hines 1b"
"05/07/1887   BL3  PH4  AA  7  PH4 123 Sam Trott          7(B)76(2)3XH(62)/FTP         7*-6*-2*              Henry Larkin lf,Chippy McGarr ss,Jocko Milligan c"
"05/21/1887   BL2  CN2  AA  2  BL2 123 Jim Keenan         4(B)4(2)45(3)/LTP            4*-4*-5*              Bill Greenwood 2b,Jumbo Davis 3b"
"06/15/1887   LS2  NY4  AA  9  NY4 -23 Bill White         43/TP.2X3(36);3XH(62)        4-3*-6*-2*            Joe Gerhardt 2b,Dave Orr 1b,Paul Radford ss,Bill Holbert c"
"06/21/1887   BSN  IN3  NL  4  BSN 12- Charley Bassett    3(B)36(2)641(1)/PTP          3*-6*-4-1*            John Morrill 1b,Bobby Wheelock ss,King Kelly 2b,Dick Conway p"
