Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"04/28/1922   BOS  NYA  AL  2  BOS 1-3 Elmer Miller      54(1)3(B)/TP.3XH(32)             5-4*-3*-2*                  Joe Dugan 3b,Del Pratt 2b,George Burns 1b,Muddy Ruel c"
"04/30/1922   CLE  SLA  AL  3  CLE 12- Wally Gerber      4(B)4(2)3(1)/LTP                 4*-4*-3*                    Bill Wambsganss 2b,Stuffy McInnis 1b"
"05/11/1922   BSN  CIN  NL  6  BSN 12- Bubbles Hargrave  64(1)3(B)2(2)/GTP                6-4*-3*-2*                  Larry Kopf ss,Hod Ford 2b,Walter Holke 1b,Mickey O'Neil c"
"05/16/1922   DET  WS1  AL  9  WS1 12- Fred Haney        4(B)3(1)6(2)/LTP                 4*-3*-6*                    Bucky Harris 2b,Joe Judge 1b,Roger Peckinpaugh ss"
"08/05/1922   PHA  SLA  AL  1  PHA 12- George Sisler     6(B)4(2)3(1)/LTP                 6*-4*-3*                    Chick Galloway ss,Ralph Young 2b,Joe Hauser 1b"
"08/11/1922   WS1  BOS  AL  9  BOS 12- Clyde Milan       25(2)3/TP.1X3(35)                2-5*-3*-5*                  Muddy Ruel c,Pinky Pittenger 3b,George Burns 1b,Pinky Pittenger 3b"
"09/03/1922   PHI  NY1  NL  2  NY1 12- Jimmy Smith       9/IF/TP.2X3(965);1X1(53)         9*-6-5*-3*                  Ross Youngs rf,Dave Bancroft ss,Heinie Groh 3b,George Kelly 1b"
"09/12/1922   CLE  CHA  AL  1  CHA 123 Larry Gardner     46(1)3(B)/TP.3-H(RBI);2XH(32)    4-6*-3*-2*                  Eddie Collins 2b,Ernie Johnson ss,Earl Sheely 1b,Yam Yaryan c"
"10/01/1922   CHA  SLA  AL  2  CHA 12- Pat Collins       4(B)4(2)3(1)/LTP                 4*-4*-3*                    Eddie Collins 2b,Earl Sheely 1b"
"05/16/1923   SLN  BSN  NL  11 SLN 1-3 Tony Boeckel      6/LTP.1X1(63);3X3(35)            6*-3*-5*                    Howard Freigau ss,Jim Bottomley 1b,Milt Stock 3b"
"06/01/1923   CLE  DET  AL  3  DET 12- Frank Brower      1/BP/TP.2X2(16);1X1(63)          1*-6*-3*                    Ken Holloway p,Topper Rigney ss,Lu Blue 1b"
"07/06/1923   PIT  PHI  NL  5  PHI 1-3 Max Carey         7(B)2(3)6(1)/TP/F                7*-2*-6*                    Johnny Mokan lf,Butch Henline c,Heinie Sand ss"
"07/19/1923   PIT  BSN  NL  8  PIT 12- Stuffy McInnis    5/LTP.2X2(54);1X1(43)            5*-4*-3*                    Pie Traynor 3b,Spencer Adams 2b,Charlie Grimm 1b"
"08/04/1923   DET  PHA  AL  3  PHA 12- Ty Cobb           6(B)4(2)3(1)/LTP                 6*-4*-3*                    Chick Galloway ss,Heinie Scheer 2b,Joe Hauser 1b"
"08/22/1923   WS1  CLE  AL  5  WS1 12- Tris Speaker      3!/L+/TP.1X1(3);2X2(36)          3*-3*-6*                    Joe Judge 1b,Roger Peckinpaugh ss"
"09/03/1923 1 SLA  CLE  AL  2  SLA 12- Charlie Jamieson  3/LTP.1X1(3);2X2(36)             3*-3*-6*                    Dutch Schliebner 1b,Wally Gerber ss"
09/14/1923   CLE  BOS  AL  2  BOS 12- Frank Brower      3!!/L34/LTP.1X1(3);2X2(3)        3*-3*-3*               [1]  George Burns 1b
10/06/1923 2 PHI  BSN  NL  4  BSN 12- Walter Holke      6/LTP.2X2(6);1X1(6)              6*-6*-6*               [1]  Ernie Padgett ss
"04/19/1924   PIT  SLN  NL  5  SLN 12- Max Carey         6(B)6(2)3(1)/LTP                 6*-6*-3*                    Les Bell ss,Jim Bottomley 1b"
"04/27/1924   BOS  WS1  AL  1  BOS 12- Sam Rice          3(B)6(2)3(1)/LTP                 3*-6*-3*                    Joe Harris 1b,Dud Lee ss,Joe Harris 1b"
"05/28/1924 1 NYA  WS1  AL  4  NYA 1-3 Roger Peckinpaugh 5(B)5(3)3(1)/LTP                 5*-5*-3*                    Joe Dugan 3b,Wally Pipp 1b"
"05/30/1924 2 WS1  BOS  AL  6  BOS 1-3 Nemo Leibold      4(1)3/TP.3XH(32)                 4*-3*-2*                    Bill Wambsganss 2b,Joe Harris 1b,Val Picinich c"
"06/14/1924   BOS  CLE  AL  4  BOS 12- Tris Speaker      3(B)3(1)6(2)/LTP                 3*-3*-6*                    Howard Shanks 1b,Dud Lee ss"
"06/28/1924   SLA  CHA  AL  2  SLA 123 Sloppy Thurston   64(1)3(B)/TP.3-H(NR)(UR);2XH(32) 6-4*-3*-2*                  Wally Gerber ss,Marty McManus 2b,George Sisler 1b,Hank Severeid c"
"07/03/1924   CHA  DET  AL  3  DET -23 Willie Kamm       6(B)5(3)4(2)/LTP                 6*-5*-4*                    Topper Rigney ss,Bob Jones 3b,Les Burke 2b"
"07/04/1924 2 PHI  NY1  NL  7  PHI 12- Heinie Groh       4(B)6(2)3(1)/LTP                 4*-6*-3*                    Hod Ford 2b,Heinie Sand ss,Walter Holke 1b"
"07/30/1924   SLN  PHI  NL  2  SLN 12- Johnny Mokan      3/LTP.2X2(36);1X1(64)            3*-6*-4*                    Jim Bottomley 1b,Jimmy(JE) Cooney ss,Rogers Hornsby 2b"
"08/23/1924   BRO  CHN  NL  2  CHN 12- Hank DeBerry      5/LTP.2X2(54);1X1(43)            5*-4*-3*                    Bob Barrett 3b,George Grantham 2b,Hooks Cotter 1b"
"09/06/1924 2 NY1  PHI  NL  9  NY1 12- Joe Schultz       4(B)4(2)3(1)/LTP                 4*-4*-3*                    Frankie Frisch 2b,Bill Terry 1b"
"05/01/1925   BSN  PHI  NL  6  PHI 123 Mickey O'Neil      9(B)2(3)4(1)/F9S/TP                   9*-2*-4*                Joe Schultz rf,Butch Henline c,Lew Fonseca 2b"
05/07/1925   SLN  PIT  NL  9  PIT 12- Jim Bottomley      6/LTP/L6M.2X2(6);1X1(6)               6*-6*-6*           [1]  Glenn Wright ss
"06/05/1925   BRO  CHN  NL  7  CHN 12- Zack Wheat         3/LTP.1X1(3);2X2(36)                  3*-3*-6*                Bernie Friberg 1b,Rabbit Maranville ss"
"06/12/1925   NY1  PIT  NL  1  NY1 -23 Kiki Cuyler        S6/G56+/TP.3XH(625);2X3(54);BX2(4393) 6-2-5*-4*3-9-3*         Travis Jackson ss,Hank Gowdy c,Heinie Groh 3b,George Kelly 2b,Bill Terry 1b,Ross Youngs rf,Bill Terry 1b"
"06/29/1925   BRO  PHI  NL  5  PHI 12- Hank DeBerry       1/LTP.2X2(16);1X1(63)                 1*-6*-3*                Hal Carlson p,Heinie Sand ss,Chicken Hawks 1b"
"08/25/1925   PHA  CLE  AL  2  CLE 1-3 Chick Galloway     4(1)/FO/TP.3XH(42);BX2(26)            4*-2*-6*                Freddy Spurgeon 2b,Luke Sewell c,Joe Sewell ss"
"09/22/1925   BRO  CHN  NL  8  CHN 1-3 Burleigh Grimes    64(1)3(B)/TP.3XH(32)                  6-4*-3*-2*              Sparky Adams ss,Gale Staley 2b,Charlie Grimm 1b,Gabby Hartnett c"
"05/14/1926   DET  BOS  AL  3  BOS 12- Ty Cobb            3(B)3(1)6(2)/LTP                      3*-3*-6*                Phil Todt 1b,Topper Rigney ss"
"05/26/1926   CIN  SLN  NL  2  SLN 12- Curt Walker        4(B)6(2)3(1)/TP                       4*-6*-3*                Rogers Hornsby 2b,Tommy Thevenow ss,Jim Bottomley 1b"
"06/05/1926   NYA  CLE  AL  7  CLE 123 Mark Koenig        1(B)5(3)3(1)/TP                       1*-5*-3*                Garland Buckeye p,Rube Lutzke 3b,George Burns 1b"
"06/06/1926   BOS  CHA  AL  8  BOS 12- Bibb Falk          4(B)3(1)6(2)/LTP                      4*-3*-6*                Mike Herrera 2b,Phil Todt 1b,Topper Rigney ss"
"06/14/1926   SLN  BRO  NL  7  BRO 12- Ray Blades         6(B)4(2)4(1)/LTP                      6*-4*-4*                Rabbit Maranville ss,Chick Fewster 2b"
"06/24/1926 2 WS1  PHA  AL  3  WS1 12- Max Bishop         43/GDP/TP.1X2(36);2XH(6525)           4-3*-6*-5-2-5*          Bucky Harris 2b,Joe Judge 1b,Roger Peckinpaugh ss,Ossie Bluege 3b,Muddy Ruel c,Ossie Bluege 3b"
"06/27/1926   PIT  CIN  NL  7  CIN 1-3 Johnny Rawlings    6(B)5(3)3(1)/LTP                      6*-5*-3*                Frank Emmer ss,Chuck Dressen 3b,Rube Bressler 1b"
"09/11/1926 1 WS1  CLE  AL  4  CLE -23 Bennie Tate        13/TP.2X2(36);3XH(62)                 1-3*-6*-2*              George Uhle p,George Burns 1b,Joe Sewell ss,Luke Sewell c"
"09/16/1926 2 PHA  SLA  AL  1  PHA 12- George Sisler      1(B)4(2)3(1)/LTP                      1*-4*-3*                Sam Gray p,Bill Wambsganss 2b,Jim Poole 1b"
"05/24/1927   PIT  CIN  NL  2  CIN 123 Lloyd Waner        5(B)5(3)4(2)/LTP                      5*-5*-4*                Chuck Dressen 3b,Hughie Critz 2b"
"05/29/1927 2 CLE  SLA  AL  7  SLA 123 Dutch Levsen       52(3)/FO/TP.BX1(23);2XH(32)           5-2*-3*-2*              Otto Miller 3b,Leo Dixon c,George Sisler 1b,Leo Dixon c"
05/30/1927 1 CHN  PIT  NL  4  CHN 12- Paul Waner         6(B)6(2)6(1)/LTP/6M                   6*-6*-6*           [1]  Jimmy(JE) Cooney ss
05/31/1927   CLE  DET  AL  9  DET 12- Homer Summa        3(B)3(1)3(2)/LTP                      3*-3*-3*           [1]  Johnny Neun 1b
"06/23/1927   DET  CHA  AL  3  DET -23 Bill Hunnefield    43/TP.2X3(36);3XH(62)                 4-3*-6*-2*              Charlie Gehringer 2b,Lu Blue 1b,Jackie Tavener ss,Larry Woodall c"
"08/19/1927 2 BOS  DET  AL  8  BOS 12- Bob Fothergill     6(B)4(2)3(1)/LTP                      6*-4*-3*                Buddy Myer ss,Bill Regan 2b,Phil Todt 1b"
"09/04/1927   SLN  CHN  NL  7  SLN -23 Charlie Grimm      43/TP.1X3(3624);3XH(435)              4-3*-6-2-4*-3-5*        Frankie Frisch 2b,Jim Bottomley 1b,Rabbit Maranville ss,Bob O'Farrell c,Frankie Frisch 2b,Jim Bottomley 1b,Les Bell 3b"
"09/05/1927 2 WS1  PHA  AL  7  PHA 12- Ossie Bluege       6(B)4(2)3(1)/LTP                      6*-4*-3*                Joe Boley ss,Max Bishop 2b,Jimmy Dykes 1b"
"09/26/1927 1 WS1  BOS  AL  5  BOS 12- Joe Judge          8/SF/TP.1X2(84);2XH(42)               8*-4*-2*                Ira Flagstead cf,Bill Regan 2b,Grover Hartley c"
"05/23/1928   CLE  CHA  AL  9  CLE 123 Bud Clancy         7/FTP.3XH(72);2X3(265)                7*-2*-6-5*              Charlie Jamieson lf,Luke Sewell c,Joe Sewell ss,Johnny Hodapp 3b"
"06/09/1928   NYA  CLE  AL  2  CLE 1-3 Joe Dugan          7(B)743(1)32(3)/L/TP                  7*-4-3*-2*              Charlie Jamieson lf,Carl Lind 2b,Lew Fonseca 1b,Luke Sewell c"
"04/26/1929   NYA  PHA  AL  6  NYA 123 Sammy Hale         12(3)3(B)/TP.2XH(35);1-2              1-2*-3*-5*              Hank Johnson p,Johnny Grabowski c,Lou Gehrig 1b,Mark Koenig 3b"
"04/30/1929   CLE  CHA  AL  7  CHA 12- Carl Lind          63/TP.3XH(325);2XH(5)                 6-3*-2-5*-5*            Bill Cissell ss,Bud Clancy 1b,Buck Crouse c,Willie Kamm 3b"
"05/05/1929   PIT  BSN  NL  4  PIT 1-3 Al Spohrer         FC1/TP.3XH(1525);BX2(54);1XH(42)      1-5-2-5*-4*-2*          Burleigh Grimes p,Pie Traynor 3b,Charlie Hargreaves c,Pie Traynor 3b,Dick Bartell 2b,Charlie Hargreaves c"
"05/18/1929 1 BRO  PHI  NL  5  BRO 12- Lefty O'Doul       3(B)3(1)6(2)/LTP                      3*-3*-6*                Harvey Hendrick 1b,Dave Bancroft ss"
"05/25/1929   PHI  BRO  NL  8  BRO 123 Homer Peel         6(B)3(1)4(2)/LTP                      6*-3*-4*                Dave Bancroft ss,Harvey Hendrick 1b,Eddie Moore 2b"
"06/03/1929   PHI  PIT  NL  4  PHI 12- Burleigh Grimes    4(B)3(1)6(2)/TP                       4*-3*-6*                Fresco Thompson 2b,Don Hurst 1b,Bernie Friberg ss"
"06/19/1929 1 SLN  CHN  NL  8  SLN 12- Kiki Cuyler        3(B)3(1)36(2)/LTP                     3*-3*-6*                Jim Bottomley 1b,Charlie Gelbert ss"
"07/04/1929 1 CIN  CHN  NL  2  CIN 1-3 Norm McMillan      4(1)3/TP.3XH(32)                      4*-3*-2*                Pinky Pittenger 2b,George Kelly 1b,Johnny Gooch c"
"07/11/1929   BOS  DET  AL  7  DET 1-3 Russ Scarritt      1(B)3(1)5(3)/LTP                      1*-3*-5*                Josh Billings p,Dale Alexander 1b,Marty McManus 3b"
"08/17/1929   PIT  BSN  NL  2  PIT 12- Freddie Maguire    4(B)6(1)6(2)/FTP                      4*-6*-6*                George Grantham 2b,Dick Bartell ss"
"09/19/1929   SLA  WS1  AL  8  SLA 12- Joe Judge          14(B)4(2)4(1)/LTP                     1-4*-4*-4*              George Blaeholder p,Ski Melillo 2b"
"04/19/1930   CHN  CIN  NL  3  CIN 12- Footsie Blair      1(B)5(2)6(1)/BP/TP                    1*-5*-6*                Benny Frey p,Tony Cuccinello 3b,Hod Ford ss"
"06/01/1930   BOS  NYA  AL  4  BOS 12- Jimmie Reese       3(B)3(1)6(2)/L/TP                     3*-3*-6*                Phil Todt 1b,Hal Rhyne ss"
"07/18/1930   BOS  DET  AL  8  DET 12- Bill Sweeney       6(B)4(2)3(1)/LTP                      6*-4*-3*                Mark Koenig ss,Charlie Gehringer 2b,Dale Alexander 1b"
"07/27/1930   CHN  CIN  NL  6  CIN 1-3 Charlie Grimm      FC4/TP.3XH(452);BX2(23);1X3(35)       4-5-2*-3*-5*            Hod Ford 2b,Tony Cuccinello 3b,Clyde Sukeforth c,Joe Stripp 1b,Tony Cuccinello 3b"
"08/09/1930   BRO  SLN  NL  4  BRO 12- George Watkins     9(B)4(1)4(2)/TP/L                     9*-4*-4*                Babe Herman rf,Jake Flowers 2b"
"09/16/1930   PIT  PHI  NL  8  PHI 12- Pie Traynor        4/L/TP.2X3(4);1X2(43)                 4*-4*-3*                Fresco Thompson 2b,Monk Sherlock 1b"
"09/21/1930   WS1  DET  AL  3  WS1 12- Bill Akers         13/BTP.2X3(35);1X2(565)               1-3*-5*-6-5*            Bump Hadley p,Joe Judge 1b,Jackie(MC) Hayes 3b,Joe Cronin ss,Jackie(MC) Hayes 3b"
"05/23/1931 2 DET  SLA  AL  5  SLA -23 Marv Owen          FC6/TP.3XH(625);BX2(53);2X3(35)/GTP   6-2-5*-3*-5*            Jim Levey ss,Rick Ferrell c,Red Kress 3b,Jack Burns 1b,Red Kress 3b"
"06/06/1931   CLE  NYA  AL  9  NYA 12- Willie Kamm        3(B)3(1)6(2)/LTP                      3*-3*-6*                Lou Gehrig 1b,Lyn Lary ss"
"07/01/1931   CHN  PHI  NL  4  PHI 12- Danny Taylor       4(B)3(1)6(2)/TP/L                     4*-3*-6*                Les Mallon 2b,Bernie Friberg 1b,Dick Bartell ss"
"07/23/1931   CHA  BOS  AL  6  CHA 123 Earl Webb          5(B)5(3)3(1)/TP/L                     5*-5*-3*                Billy Sullivan(Jr) 3b,Lu Blue 1b"
"09/06/1931 2 SLN  CIN  NL  6  CIN 123 Jimmie Wilson      7/F/TP.3XH(72);2X2(264)               7*-2*-6-4*              Nick Cullop lf,Lena Styles c,Leo Durocher ss,Tony Cuccinello 2b"
"09/11/1931   CHA  NYA  AL  1  CHA 12- Babe Ruth          5(2)54(1)43(B)/GTP                    5*-4*-3*                Billy Sullivan(Jr) 3b,John Kerr 2b,Lu Blue 1b"
"09/21/1931 1 DET  PHA  AL  4  DET 12- Jimmie Dykes       4(B)6(2)3(1)/LTP                      4*-6*-3*                Charlie Gehringer 2b,Billy Rogell ss,Dale Alexander 1b"
"09/26/1931 1 CHA  SLA  AL  4  SLA 12- Tommy Thomas       3(B)6(2)4(1)/TP/BP                    3*-6*-4*                Jack Burns 1b,Jim Levey ss,Ski Melillo 2b"
"05/13/1932   BRO  CIN  NL  3  BRO 12- Taylor Douthit     6(B)4(2)3(1)/LTP                      6*-4*-3*                Glenn Wright ss,Tony Cuccinello 2b,George Kelly 1b"
"06/19/1932 2 PHA  SLA  AL  7  SLA 12- Mule Haas          4/LTP.2X2(46);1X1(63)                 4*-6*-3*                Ski Melillo 2b,Jim Levey ss,Jack Burns 1b"
"09/14/1932   PIT  BSN  NL  5  BSN 12- Adam Comorosky     6(B)6(2)3(1)/LTP                      6*-6*-3*                Billy Urbanski ss,Buck Jordan 1b"
"04/23/1933 1 PIT  SLN  NL  2  SLN 1-3 Lloyd Waner        4(B)5(3)3(1)/LTP                      4*-5*-3*                Frankie Frisch 2b,Pepper Martin 3b,Ripper Collins 1b"
"08/20/1933 1 SLN  BRO  NL  5  SLN 12- Joe Hutcheson      4/P/TP.1X1(43);2X2(36)                4*-3*-6*                Frankie Frisch 2b,Ripper Collins 1b,Leo Durocher ss"
"05/11/1934   BRO  CHN  NL  1  CHN 123 Hack Wilson        3(B)3(1)6(2)/LTP                      3*-3*-6*                Dolph Camilli 1b,Billy Jurges ss"
"05/29/1934   PHI  BSN  NL  2  BSN 12- Irv Jeffries       1(B)3(1)6(2)/LTP                      1*-3*-6*                Fred Frankhouse p,Buck Jordan 1b,Billy Urbanski ss"
"07/21/1934   PHA  DET  AL  4  DET 12- Charlie Berry      3/LTP.1X1(3);2X2(36)                  3*-3*-6*                Hank Greenberg 1b,Billy Rogell ss"
"08/04/1934 1 NY1  PHI  NL  3  NY1 12- Ethan Allen        4(B)3(1)6(2)/L/TP                     4*-3*-6*                Hughie Critz 2b,Bill Terry 1b,Travis Jackson ss"
"08/12/1934   CLE  DET  AL  7  DET 1-3 Bill Knickerbocker 5(B)5(3)3(1)/LTP                      5*-5*-3*                Marv Owen 3b,Hank Greenberg 1b"
"04/21/1935   CIN  CHN  NL  11 CIN 12- Augie Galan        3(B)3(1)4(2)/LTP                      3*-3*-4*                Jim Bottomley 1b,Alex Kampouris 2b"
"04/26/1935   PHI  NY1  NL  2  PHI 12- Gus Mancuso        26(2)6(1)3/GTP/BG                     2-6*-6*-3*              Jimmie Wilson c,Jim Bivin p,Blondy Ryan ss,Dolph Camilli 1b"
"04/27/1935   NYA  PHA  AL  1  NYA 12- Jimmie Foxx        4(B)3(1)6(2)/LTP                      4*-3*-6*                Tony Lazzeri 2b,Lou Gehrig 1b,Frankie Crosetti ss"
"07/29/1935   CHA  SLA  AL  9  SLA 1-3 Les Tietje         2(B)4(1)5(3)/PTP                      2*-4*-5*                Rollie Hemsley c,Tom Carey 2b,Harlond Clift 3b"
"09/07/1935 1 CLE  BOS  AL  9  CLE 123 Joe Cronin         56/LTP.2X2(64);1X1(43)                5-6*-4*-3*              Odell Hale 3b,Bill Knickerbocker ss,Roy Hughes 2b,Hal Trosky 1b"
"04/24/1936   DET  SLA  AL  4  DET 12- Jim Bottomley      4(B)6(2)3(1)/LTP                      4*-6*-3*                Charlie Gehringer 2b,Billy Rogell ss,Hank Greenberg 1b"
"04/30/1936   CHA  BOS  AL  8  CHA 12- Ski Melillo        6(B)4(2)3(1)/LTP                      6*-4*-3*                Luke Appling ss,Tony Piet 2b,Zeke Bonura 1b"
"06/18/1936   WS1  DET  AL  2  WS1 12- Frank Reiber       6(B)4(2)3(1)/LTP                      6*-4*-3*                Red Kress ss,Ossie Bluege 2b,Joe Kuhel 1b"
"06/27/1936 2 WS1  CHA  AL  4  WS1 123 Tony Piet          2(3)3(B)/TP.2X3(35)                   2*-3*-5*                Wally Millies c,Joe Kuhel 1b,Buddy Lewis 3b"
"07/26/1936 1 CIN  NY1  NL  4  NY1 12- Ernie Lombardi     8/F78/TP.2X2(8765);1X2(53)            8-7*-6-5*-3*            Hank Leiber cf,Jo-Jo Moore lf,Dick Bartell ss,Eddie Mayo 3b,Sam Leslie 1b"
"08/07/1936   CHA  CLE  AL  9  CLE 12- Tony Piet          3(B)6(2)3(1)/LTP                      3*-6*-3*                Hal Trosky 1b,Bill Knickerbocker ss,Hal Trosky 1b"
"09/05/1936 2 NYA  BOS  AL  8  BOS 12- Frankie Crosetti   5(B)6(2)3(1)/BP/TP                    5*-6*-3*                Joe Cronin 3b,Eric McNair ss,Jimmie Foxx 1b"
"09/16/1936 1 SLN  PHI  NL  2  SLN 12- Earl Grace         1(B)3(1)6(2)/PTP                      1*-3*-6*                Jesse Haines p,Johnny Mize 1b,Leo Durocher ss"
"09/20/1936 2 BOS  PHA  AL  1  BOS 12- Chubby Dean        9(B)3(1)6(2)/TP                       9*-3*-6*                Fabian Gaffke rf,Babe Dahlgren 1b,Joe Cronin ss"
"04/26/1937   PHA  NYA  AL  8  NYA 12- Chubby Dean        46(1)3(B)/GTP.2XH(35)                 4-6*-3*-5*              Tony Lazzeri 2b,Frankie Crosetti ss,Lou Gehrig 1b,Red Rolfe 3b"
"04/30/1937   CHN  PIT  NL  7  PIT 123 Joe Marty          64(1)3(B)/TP.3-H(NR);2X3(35)          6-4*-3*-5*              Arky Vaughan ss,Lee Handley 2b,Gus Suhr 1b,Bill Brubaker 3b"
"07/12/1937   NY1  PHI  NL  1  NY1 123 Morrie Arnovich    9/TP/F.2X2(926);3X3(65)               9*-2-6*-5*              Mel Ott rf,Gus Mancuso c,Dick Bartell ss,Lou Chiozza 3b"
"09/14/1937 2 BSN  CHN  NL  3  BSN 12- Clay Bryant        6(B)64(2)43(1)/TP                     6*-4*-3*                Rabbit Warstler ss,Tony Cuccinello 2b,Elbie Fletcher 1b"
"04/28/1938   BOS  NYA  AL  9  BOS 12- Joe Glenn          3(B)6(2)3(1)/LTP                      3*-6*-3*                Jimmie Foxx 1b,Joe Cronin ss,Jimmie Foxx 1b"
"05/11/1938   SLA  PHA  AL  2  SLA 123 Wally Moses        4(B)6(2)3(1)/LTP                      4*-6*-3*                Roy Hughes 2b,Red Kress ss,George McQuinn 1b"
"05/29/1939   PIT  SLN  NL  1  SLN 12- Johnny Rizzo       5(2)4(1)3/GTP                         5*-4*-3*                Don Gutteridge 3b,Stu Martin 2b,Johnny Mize 1b"
"06/01/1939   CHN  BRO  NL  12 BRO 12- Jim Gleeson        53(1)3/BG/FO/TP.2X3(356)              5-3*-3*-5-6*            Cookie Lavagetto 3b,Dolph Camilli 1b,Cookie Lavagetto 3b,Leo Durocher ss"
"09/19/1939   CLE  WS1  AL  5  CLE 12- Early Wynn         56(2)3(1)3(B)/PTP                     5-6*-3*-3*              Ken Keltner 3b,Lou Boudreau ss,Oscar Grimes 1b"
"09/24/1939   NYA  WS1  AL  7  NYA 123 Sam West           3(B)6(2)3(1)/TP                       3*-6*-3*                Babe Dahlgren 1b,Frankie Crosetti ss,Babe Dahlgren 1b"
"07/18/1940   DET  BOS  AL  7  DET 1-3 Marv Owen          43/TP.1X2(36);3XH(652)                4-3*-6*-5-2*            Charlie Gehringer 2b,Rudy York 1b,Red Kress ss,Pinky Higgins 3b,Birdie Tebbetts c"
"07/25/1940   CHN  BSN  NL  8  BSN 12- Bill Lee           3(1)6(2)4(B)/GTP/BG                   3*-6*-4*                Buddy Hassett 1b,Eddie Miller ss,Bama Rowell 2b"
"09/10/1940   WS1  CHA  AL  9  WS1 12- Bob Kennedy        4(B)6(2)3(1)/LTP                      4*-6*-3*                Jimmy Bloodworth 2b,Sherry Robertson ss,Jack Sanford 1b"
"09/14/1941   DET  WS1  AL  2  WS1 12- Pinky Higgins      3(B)3(1)6(2)/LTP                      3*-3*-6*                Mickey Vernon 1b,Cecil Travis ss"
"05/12/1942   PIT  NY1  NL  7  NY1 12- Frankie Gustine    4(B)6(2)6(1)/LTP                      4*-6*-6*                Connie Ryan 2b,Billy Jurges ss"
"08/22/1942   CIN  CHN  NL  11 CHN 12- Max Marshall       2(B)6(2)3(1)/TP/BP                    2*-6*-3*                Clyde McCullough c,Lennie Merullo ss,Phil Cavarretta 1b"
"09/06/1942 1 BSN  PHI  NL  5  BSN 12- Danny Murtaugh     1(B)6(2)3(1)/PTP                      1*-6*-3*                Tom Earley p,Eddie Miller ss,Max West 1b"
"10/02/1943   DET  WS1  AL  8  WS1 12- Joe Wood           8/TP.1X2(824);2XH(425)                8*-2-4*-2-5*            Stan Spence cf,Tony Giuliani c,George Myatt 2b,Tony Giuliani c,Sherry Robertson 3b"
"04/29/1944   NYA  WS1  AL  2  WS1 12- Rollie Hemsley     3(B)/L3/TP.2X3(34);1X2(4)             3*-4*-4*                Joe Kuhel 1b,George Myatt 2b"
"05/20/1944   CHA  BOS  AL  1  CHA 123 Bob Johnson        64(1)3(B)/TP.3-H(NR)(UR);2XH(32)      6-4*-3*-2*              Skeeter Webb ss,Roy Schalk 2b,Hal Trosky 1b,Tom Turner c"
"06/03/1944   PIT  NY1  NL  7  PIT 12- Johnny Rucker      4(B)6(2)3(1)/LTP                      4*-6*-3*                Frankie Gustine 2b,Frankie Zak ss,Babe Dahlgren 1b"
"07/01/1944   BRO  SLN  NL  3  SLN 12- Frenchy Bordagaray 6(B)4(2)3(1)/LTP                      6*-4*-3*                Marty Marion ss,Emil Verban 2b,Ray Sanders 1b"
"07/15/1944   CIN  SLN  NL  2  SLN 12- Eric Tipton        4(B)6(2)3(1)/L/TP                     4*-6*-3*                Emil Verban 2b,Marty Marion ss,Ray Sanders 1b"
"08/06/1944 2 BSN  BRO  NL  7  BRO 123 Butch Nieman       42(3)3(B)6(1)/TP.2-3                  4-2*-3*-6*              Eddie Stanky 2b,Mickey Owen c,Jack Bolling 1b,Bobby Bragan ss"
"08/10/1944   CHA  BOS  AL  4  CHA 123 Jim Tabor          5(B)5(3)3(1)/L/TP                     5*-5*-3*                Ralph Hodgin 3b,Eddie Carnett 1b"
"09/01/1944   DET  SLA  AL  6  SLA 12- Rudy York          5(2)4(1)3/GTP                         5*-4*-3*                Mark Christman 3b,Don Gutteridge 2b,George McQuinn 1b"
"09/03/1944 1 CHN  CIN  NL  1  CHN 12- Gee Walker         6(B)4(2)3(1)/L/TP                     6*-4*-3*                Lennie Merullo ss,Don Johnson 2b,Stan Hack 1b"
"07/20/1945 2 DET  WS1  AL  7  DET 12- Gil Torres         4(B)6(2)3(1)/TP                       4*-6*-3*                Eddie Mayo 2b,Skeeter Webb ss,Rudy York 1b"
"05/08/1946   DET  WS1  AL  3  DET 12- Gil Torres         14(B)/LTP.2X2(4);1X1(43)              1-4*-4*-3*              Hal Newhouser p,Eddie Mayo 2b,Hank Greenberg 1b"
"05/13/1946 2 SLA  CLE  AL  2  CLE 12- Chuck Stevens      1(B)6(2)3(1)/LTP                      1*-6*-3*                Joe Krakauskas p,Lou Boudreau ss,Mike Rocco 1b"
"05/22/1946   NYA  DET  AL  8  NYA 1-3 Dick Wakefield     FC3/TP.3XH(325);1X3(5464);BX2(436)    3-2-5*-4-6-4*-3-6*      Nick Etten 1b,Bill Dickey c,Snuffy Stirnweiss 3b,Joe Gordon 2b,Phil Rizzuto ss,Joe Gordon 2b,Nick Etten 1b,Phil Rizzuto ss"
"06/11/1946   CHA  PHA  AL  1  CHA 12- Irv Hall           4(B)6(2)3(1)/LTP                      4*-6*-3*                Don Kolloway 2b,Luke Appling ss,Hal Trosky 1b"
"09/25/1946 1 WS1  PHA  AL  7  PHA 1-3 Cecil Travis       54(1)/FO/TP.3XH(425);BX2(56)          5-4*-2-5*-6*            Don Richmond 3b,Oscar Grimes 2b,Joe Astroth c,Don Richmond 3b,Jack Wallaesa ss"
